id,class,term,week,module,type,title,summary,topics,file_format,url,source,print_ready,onenote_path,definitions,success_criteria,tasks,key_concepts,current,locked
y7-t1-w1-outline-01,Year 7,1,1,Microsoft Office Suite,Lesson Outline,Week 1 - Outlook and Email,Introduction to school email - composing professional emails CC/BCC subject lines and attachments.,"outlook,email,cc,bcc,attachments,subject line",html,,Drive,false,,Email: Electronic message sent over a network|CC: Carbon Copy - sends a copy to another person|BCC: Blind Carbon Copy - hidden copy|Attachment: A file sent with an email|Subject line: Brief description of the email topic,I can compose a professional email|I can explain the difference between CC and BCC|I can attach a file to an email,Task 1: Compose a professional email to a teacher|Task 2: Practice CC and BCC|Task 3: Email etiquette quiz,"email, outlook, communication, etiquette",false,false
y7-t1-w2-outline-01,Year 7,1,2,Microsoft Office Suite,Lesson Outline,Week 2 - OneDrive and File Management,Cloud storage vs local storage - organising files sharing documents and version history.,"onedrive,cloud storage,file management,sharing,version history",html,,Drive,false,,OneDrive: Microsoft cloud storage service|Cloud storage: Saving files on remote servers|Local storage: Saving files on your own device|Version history: Record of changes made to a file|Sync: Keeping files the same across devices,I can explain the difference between cloud and local storage|I can organise files in OneDrive|I can share a file with another person,Task 1: Upload a file to OneDrive|Task 2: Share a document|Task 3: Restore a previous version,"cloud, storage, onedrive, files",false,false
y7-t1-w3-outline-01,Year 7,1,3,Microsoft Office Suite,Lesson Outline,Week 3 - Excel Basics,Spreadsheets cells rows and columns - basic formulas SUM AVERAGE COUNT and simple charts.,"excel,spreadsheet,formulas,SUM,AVERAGE,charts,cells",html,,Drive,false,,Spreadsheet: A grid of cells for organising data|Cell: A single box in a spreadsheet|Formula: A calculation starting with = sign|SUM: Adds a range of numbers|AVERAGE: Calculates the mean of a range|Chart: A visual representation of data,I can enter data into a spreadsheet|I can write a SUM formula|I can create a basic chart,Task 1: Enter class data into Excel|Task 2: Write SUM and AVERAGE formulas|Task 3: Create a column chart,"excel, spreadsheet, data, formulas",false,false
y7-t1-w4-outline-01,Year 7,1,4,Microsoft Office Suite,Lesson Outline,Week 4 - PowerPoint and Presenting,Slide design principles layouts transitions and presenting effectively to an audience.,"powerpoint,slides,design,presentation,transitions,audience",html,,Drive,false,,Slide: A single page in a presentation|Layout: The arrangement of content on a slide|Transition: Animation between slides|Audience: The people watching your presentation|Dot points: Short notes not full sentences,I can design a clear slide layout|I can use transitions appropriately|I can present confidently to the class,Task 1: Design a 5-slide presentation|Task 2: Add transitions|Task 3: Present to the class,"powerpoint, design, presenting, slides",false,false
y7-t1-w5-outline-01,Year 7,1,5,Microsoft Office Suite,Lesson Outline,Week 5 - OneNote and Digital Organisation,Digital notebooks sections and pages - tagging notes searching and organising study materials.,"onenote,notebook,organisation,notes,tags,search",html,,Drive,false,,Notebook: A digital collection of notes|Section: A category within a notebook|Page: A single note within a section|Tag: A label to mark important content|Search: Finding content across all notes,I can create sections and pages in OneNote|I can tag important notes|I can search across my notebook,Task 1: Set up class notebook|Task 2: Take notes and tag them|Task 3: Search for tagged content,"onenote, notes, organisation, digital",false,false
y7-t1-w6-outline-01,Year 7,1,6,Microsoft Office Suite,Lesson Outline,Week 6 - Digital Portfolio and Reflection,Curating evidence of learning - what makes a strong portfolio and how to reflect on your work.,"portfolio,reflection,evidence,curation,learning",html,,Drive,false,,Portfolio: A collection of your best work|Evidence: Work that shows what you can do|Reflection: Thinking about what you learned|Curation: Carefully choosing what to include|Growth: Improvement over time,I can select evidence of my learning|I can write a meaningful reflection|I can explain what I improved on,Task 1: Select three pieces of evidence|Task 2: Write a reflection for each|Task 3: Organise your portfolio,"portfolio, reflection, evidence, learning",false,false
y7-t1-w7-outline-01,Year 7,1,7,Microsoft Office Suite,Lesson Outline,Week 7 - Office Suite Synthesis,Combining all Office tools - creating a project that uses email OneDrive Excel PowerPoint and OneNote together.,"office suite,synthesis,integration,project",html,,Drive,false,,Integration: Using multiple tools together|Workflow: The steps you follow to complete a task|Collaboration: Working with others on shared documents,I can use multiple Office tools in one project|I can share and collaborate on documents|I can explain when to use each tool,Task 1: Plan a multi-tool project|Task 2: Build the project|Task 3: Present your workflow,"office suite, integration, workflow",false,false
y7-t1-w8-assessment-01,Year 7,1,8,Microsoft Office Suite,Assessment,Assessment 1 - Microsoft Office Suite,Practical assessment covering Outlook OneDrive Excel PowerPoint and OneNote.,"assessment, office suite, email, spreadsheet, presentation",html,,Drive,false,,,I can demonstrate competency across all Office tools|I can complete a real-world digital task using Office,,office suite assessment,false,false
y7-t1-w9-outline-01,Year 7,1,9,Microsoft Office Suite,Lesson Outline,Week 9 - Digital Citizenship and Safety,Safe responsible and ethical use of technology - passwords privacy and online behaviour.,"digital citizenship,safety,privacy,passwords,ethics",html,,Drive,false,,Digital citizenship: Being a responsible technology user|Privacy: Keeping personal information safe|Password: A secret word used to protect accounts|Phishing: A scam to trick you into giving personal info|Cyberbullying: Using technology to bully someone,I can create a strong password|I can identify a phishing attempt|I can explain responsible online behaviour,Task 1: Create a strong password|Task 2: Spot the phishing email|Task 3: Digital citizenship pledge,"safety, privacy, citizenship, passwords",false,false
y7-t1-w10-portfolio-01,Year 7,1,10,Microsoft Office Suite,Reference,Term 1 Portfolio and Reflection,Final portfolio review - collecting evidence from all Term 1 units and writing a term reflection.,"portfolio, reflection, term 1, evidence",html,,Drive,false,,,I can curate my best work from Term 1|I can write a reflection on my growth,,portfolio reflection,false,false
y7-t2-w1-outline-01,Year 7,2,1,Digital Systems and Hardware,Lesson Outline,Week 1 - What is a Digital System?,Introduction to digital systems - the four key components and how hardware and software work together.,"digital systems,hardware,software,input,output,processing,storage",html,,Drive,false,,Digital system: Hardware and software working together to process information|Hardware: Physical components you can touch|Software: Programs and instructions you cannot touch|Input: Data going into a system|Output: Result coming out of a system|Processing: The CPU doing work on data|Storage: Saving data for later use,I can define what a digital system is|I can identify the four key components|I can give examples of input and output devices,Task 1: Label a digital system diagram|Task 2: Sort devices into input/output/processing/storage|Task 3: Explain how a system works in your own words,"digital systems, hardware, software, components",true,false
y7-t2-w1-explainer-01,Year 7,2,1-3,Digital Systems and Hardware,Explainer,Byte's World - Digital Systems Story,Follow Byte the file on an adventure through a digital system covering hardware software and file journeys across Weeks 1-3.,"hardware,software,CPU,RAM,SSD,input,output,storage,file journey,OneDrive,network,cloud",html,,Drive,false,,Input: Data going INTO the computer|Process: The CPU doing work on the data|Storage: Saving data - RAM or SSD|Output: The result coming out|CPU: The brain of the computer|RAM: Fast memory - only while power is on|SSD: Saves data permanently|Hardware: Physical parts you can touch|Software: Programs and instructions|Upload: Sending a file OUT to the cloud|Download: Getting a file IN from the cloud|Network: Devices connected to share data|Cloud: A building full of servers far away,I can explain what a digital system is|I can trace a file journey from creation to cloud|I can identify hardware and software components,Week 1 - Digital systems intro|Week 2 - Hardware and software|Week 3 - Byte's big journey,"digital systems, hardware, software, file journey, cloud",false,false
y7-t2-w2-outline-01,Year 7,2,2,Digital Systems and Hardware,Lesson Outline,Week 2 - Hardware and Software Deep Dive,CPU RAM HDD vs SSD operating systems application software vs system software and performance factors.,"CPU,RAM,HDD,SSD,operating system,performance,application software,system software",html,,Drive,false,,CPU: Central Processing Unit - the brain of the computer|RAM: Random Access Memory - fast temporary storage|HDD: Hard Disk Drive - slower permanent storage|SSD: Solid State Drive - fast permanent storage|Operating system: Software that manages hardware (Windows macOS iOS)|Application software: Programs users run (Word Chrome)|System software: Software that runs the computer|GHz: Gigahertz - measure of CPU speed,I can explain the role of the CPU and RAM|I can compare HDD and SSD storage|I can identify examples of operating systems,Task 1: Compare HDD vs SSD specs|Task 2: Identify software types|Task 3: Performance factors quiz,"CPU, RAM, storage, operating system, performance",false,false
y7-t2-w2-quiz-01,Year 7,2,2,Digital Systems and Hardware,Reference,Week 2 Quiz - Digital Systems and Hardware,Short quiz covering digital systems hardware software and component roles.,quiz,pdf,,Drive,true,,,,Quiz - Week 2 Digital Systems,"hardware, software, quiz",false,false
y7-t2-w3-outline-01,Year 7,2,3,Digital Systems and Hardware,Lesson Outline,Week 3 - File Journeys through Digital Systems,How files travel through networks - LAN WAN protocols IP addresses compression and file types.,"file journey,network,LAN,WAN,HTTP,HTTPS,IP address,compression,file types,packets",html,,Drive,false,,Network: Connected devices that share data|LAN: Local Area Network - devices in one building|WAN: Wide Area Network - devices across cities or countries|Internet: A global WAN|Protocol: Rules for how data is sent|HTTP/HTTPS: Rules for sending web data (S = secure)|IP address: Unique number identifying a device|Packet: A small chunk of data sent across a network|Compression: Making a file smaller|Lossy: Compression that removes some data permanently|Lossless: Compression that keeps all data,I can trace a file journey from input to output|I can explain the difference between LAN and WAN|I can describe what packets are,Task 1: Trace a file journey diagram|Task 2: Sort protocols into categories|Task 3: Explain compression in your own words,"networks, LAN, WAN, protocols, file journey",false,false
y7-t2-w4-outline-01,Year 7,2,4,Binary Numbers,Lesson Outline,Week 4 - Binary Numbers Introduction,Why computers use binary - bits bytes place values and converting between binary and decimal.,"binary,bits,bytes,place values,conversion,decimal",html,,Drive,false,,Binary: A number system using only 0s and 1s|Bit: A single binary digit - 0 or 1|Byte: 8 bits grouped together|Denary: Our normal base-10 number system|Place value: The value of a digit based on its position|128 64 32 16 8 4 2 1: The 8-bit place values,I can explain why computers use binary|I can convert binary to decimal|I can convert decimal to binary,Task 1: Fill in the place value table|Task 2: Convert binary to decimal|Task 3: Convert decimal to binary,"binary, bits, bytes, conversion, place values",false,false
y7-t2-w4-worksheet-01,Year 7,2,4,Binary Numbers,Worksheet,Binary Numbers Practice Sheet,Binary-to-decimal and decimal-to-binary conversion exercises with place value tables and worked examples.,"binary,conversion,practice,place values",docx,,Drive,true,,,,Binary conversion practice,"binary, conversion, worksheet",false,false
y7-t2-w4-quiz-01,Year 7,2,4,Binary Numbers,Reference,Week 4 Quiz - Binary Numbers,Short quiz on binary number conversion and place values.,quiz,pdf,,Drive,true,,,,Quiz - Week 4 Binary,"binary, quiz",false,false
y7-t2-w5-assessment-01,Year 7,2,5,Digital Systems and Hardware,Assessment,Assessment 1 - Digital Systems and Binary,Assessment covering digital systems hardware/software file journeys and binary conversion. Sections: multiple choice short answer system diagram binary conversion.,"assessment, digital systems, hardware, software, binary, file journey",html,,Drive,false,,,I can label a system diagram with component roles|I can trace a file journey|I can convert binary and decimal,,assessment 1,false,false
y7-t2-w5-rubric-01,Year 7,2,5,Binary Numbers,Rubric,Assessment 1 - Student Criteria Sheet,Marking criteria and grade descriptors (A-E) for Assessment 1. No answers included.,"assessment, rubric, criteria, grades",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric criteria,false,false
y7-t2-w6-outline-01,Year 7,2,6,Binary Images,Lesson Outline,Week 6 - Binary Images,How images are stored digitally - pixels resolution colour depth file size calculations.,"pixels,resolution,colour depth,file size,bitmap,vector,binary images",html,,Drive,false,,Pixel: A single tiny dot that makes up a screen image|Resolution: The number of pixels in an image|Colour depth: Number of bits used to represent each pixel|1-bit colour: Black and white only|8-bit colour: 256 possible colours|24-bit colour: Over 16 million colours|File size: width x height x colour depth divided by 8 = bytes|Bitmap: Image made of pixels|Vector: Image made of mathematical shapes,I can explain what a pixel is|I can calculate image file size|I can explain the effect of colour depth on file size,Task 1: Calculate file sizes for different resolutions|Task 2: Compare 1-bit 8-bit and 24-bit images|Task 3: Bitmap vs vector comparison,"pixels, resolution, colour depth, images",false,false
y7-t2-w6-quiz-01,Year 7,2,6,Binary Images,Reference,Week 6 Quiz - Binary Images,Short quiz on pixels resolution and colour depth.,quiz,pdf,,Drive,true,,,,Quiz - Week 6 Binary Images,"images, pixels, quiz",false,false
y7-t2-w7-outline-01,Year 7,2,7,Binary Sound,Lesson Outline,Week 7 - Binary Sound,How sound is stored digitally - analogue vs digital sampling sample rate bit depth and file size.,"sound,sampling,sample rate,bit depth,analogue,digital,MP3,WAV",html,,Drive,false,,Analogue: Continuous signal like a real sound wave|Digital: Data stored as discrete numbers|Sampling: Taking snapshots of a sound wave|Sample rate: How many samples per second (Hz)|Bit depth: How many bits per sample|44100 Hz: CD quality sample rate|WAV: Uncompressed audio format|MP3: Compressed audio format (lossy)|File size: sample rate x bit depth x duration x channels / 8,I can explain the difference between analogue and digital|I can describe what sampling means|I can calculate audio file size,Task 1: Diagram an analogue to digital conversion|Task 2: Calculate audio file sizes|Task 3: Compare WAV and MP3,"sound, sampling, bit depth, audio",false,false
y7-t2-w8-outline-01,Year 7,2,8,Synthesis,Lesson Outline,Week 8 - Synthesis: Bringing It All Together,Connecting digital systems hardware/software binary numbers images and sound into a complete picture.,"synthesis, review, digital systems, binary, images, sound",html,,Drive,false,,,I can connect concepts across all units|I can explain how data representation links to digital systems,,synthesis review,false,false
y7-t2-w9-assessment-01,Year 7,2,9,File Journeys and Networks,Assessment,Assessment 2 - Journey of a File,Trace a file from creation through storage network transmission and output. Tests AC9TDI8K01 and AC9TDI8K02.,"assessment, file journey, digital systems, data representation",html,,Drive,false,,,I can trace a complete file journey|I can explain data representation at each stage,,assessment 2,false,false
y7-t2-w9-rubric-01,Year 7,2,9,Assessment and Portfolio,Rubric,Assessment 2 - Student Criteria Sheet,Marking criteria and grade descriptors for Assessment 2 Journey of a File.,"assessment 2, rubric, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric criteria,false,false
y7-t2-w10-portfolio-01,Year 7,2,10,Assessment and Portfolio,Reference,Term 2 Portfolio and Reflection,Final portfolio - collecting evidence from Term 2 and writing a reflection on learning and growth.,"portfolio, reflection, term 2",html,,Drive,false,,,I can curate my best work from Term 2|I can reflect on my growth,,portfolio,false,false
y910-t1-w1-outline-01,Year 9/10,1,1,3D Printing and Design,Lesson Outline,Week 1 - 3D Printing Foundations,3D printing workflow Tinkercad interface STL files slicing software FDM printing and safety.,"3D printing, Tinkercad, STL, FDM, slicing, workflow, safety",html,,Drive,false,,3D printing: Creating physical objects layer by layer|FDM: Fused Deposition Modelling - melting filament to build layers|STL file: Standard file format for 3D printing|Slicing: Converting STL to printer instructions (G-code)|Infill: The internal structure percentage of a print|Layer height: Thickness of each printed layer|PLA: A common biodegradable plastic filament|Workplane: The flat surface you build on in Tinkercad,I can explain the 3D printing workflow|I can navigate the Tinkercad interface|I can explain what slicing software does,Task 1: Tinkercad orientation activity|Task 2: Design a simple shape and export STL|Task 3: Identify parts of a 3D printer,"3D printing, Tinkercad, STL, workflow",false,false
y910-t1-w2-outline-01,Year 9/10,1,2,3D Printing and Design,Lesson Outline,Week 2 - Measurements and Tolerance,Reading calipers design constraints tolerance values and printing calibration test pieces.,"calipers, tolerance, constraints, measurement, calibration, iteration",html,,Drive,false,,Calipers: Precision measuring tool accurate to 0.1mm|Tolerance: Intentional gap between parts so they fit together|Design constraint: A limit your design must work within|Iteration: Repeating the design process to improve|Calibration: Adjusting settings to get accurate results|Test print: Small print to check fit before full print|0.2mm: Typical tolerance for FDM printed parts,I can read a digital caliper accurately|I can explain why tolerance matters in 3D printing|I can design with a specific tolerance in mind,Task 1: Measure objects with calipers|Task 2: Design a test piece with tolerance|Task 3: Print and test fit,"calipers, tolerance, measurement, design",false,false
y910-t1-w3-outline-01,Year 9/10,1,3,3D Printing and Design,Lesson Outline,Week 3 - Tinkercad Codeblocks,Parametric design using visual block coding - loops variables and conditions to generate geometry.,"Codeblocks, parametric, loops, variables, conditions, procedural",html,,Drive,false,,Codeblocks: Visual coding environment inside Tinkercad|Parametric design: Design driven by variables that can be changed|Loop: Repeating an action a set number of times|Variable: A named value you can change|Condition: A rule that controls what happens|Procedural: Step-by-step instructions to generate a result,I can use loops to repeat shapes in Codeblocks|I can use variables to control dimensions|I can explain what parametric design means,Task 1: Generate a grid of holes using loops|Task 2: Use variables to scale a design|Task 3: Create a parametric bracket,"Codeblocks, parametric, loops, variables",false,false
y910-t1-w4-outline-01,Year 9/10,1,4,3D Printing and Design,Lesson Outline,Week 4 - First Prints and Design Sprint,Print queue rules Benchy test print mini design sprint and documentation.,"design sprint, print queue, Benchy, documentation, iteration",html,,Drive,false,,Design sprint: A fast structured design process|Empathise: Understanding the user's needs|Define: Stating the problem clearly|Ideate: Generating multiple ideas|Prototype: Building a quick version to test|Test: Checking if your solution works|Benchy: A standard test print for calibrating printers,I can follow the design sprint process|I can document my design decisions|I can evaluate a test print,Task 1: Benchy calibration print|Task 2: Mini design sprint|Task 3: Document design decisions,"design sprint, prototyping, iteration",false,false
y910-t1-w5-outline-01,Year 9/10,1,5,3D Printing and Design,Lesson Outline,Week 5 - Personal Print Project,Design and print a personal functional or decorative object with full documentation.,"personal project, design, print, documentation",html,,Drive,false,,,I can design a functional 3D printed object|I can document my design intent and constraints|I can evaluate my printed result,,personal project,false,false
y910-t1-w7-assessment-01,Year 9/10,1,7,3D Printing and Design,Assessment,Assessment 1 - 3D Printing Knowledge Test,Written knowledge test covering 3D printing workflow Tinkercad measurements tolerance and design process.,"assessment, 3D printing, Tinkercad, tolerance, workflow",html,,Drive,false,,,I can demonstrate knowledge of 3D printing concepts|I can answer questions about design and tolerance,,assessment 1 3D printing,false,false
y910-t1-w7-rubric-01,Year 9/10,1,7,3D Printing and Design,Rubric,Assessment 1 - Student Criteria Sheet,Marking criteria and grade descriptors for the 3D printing knowledge test.,"rubric, assessment, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric,false,false
y910-t1-w8-outline-01,Year 9/10,1,8,3D Printing and Design,Lesson Outline,Week 8 - Design for Use Project,Design and print a solution to a real problem with full design documentation and iteration evidence.,"design for use, project, iteration, documentation",html,,Drive,false,,,I can design a solution to a real problem|I can document and justify design decisions|I can improve my design based on test results,,design project,false,false
y910-t1-w10-portfolio-01,Year 9/10,1,10,3D Printing and Design,Reference,Term 1 Portfolio - 3D Printing,Portfolio collecting design evidence iteration photos and reflections from the 3D printing unit.,"portfolio, reflection, 3D printing",html,,Drive,false,,,I can curate evidence of my design process|I can reflect on what I would do differently,,portfolio,false,false
y910-t2-w2-outline-01,Year 9/10,2,2,Python and micro:bit,Lesson Outline,Week 2 - Python and micro:bit Recap,Variables data types casting operators string methods loops and decisions with micro:bit display and buttons.,"Python, micro:bit, variables, loops, decisions, operators, casting",html,,Drive,false,,Variable: A named container that stores a value|Data type: The kind of value stored (int float str bool)|int(): Converts a value to a whole number|float(): Converts a value to a decimal number|str(): Converts a value to text|Loop: Repeating a block of code|for loop: Repeats a set number of times|while loop: Repeats while a condition is true|if/elif/else: Makes decisions based on conditions|display.show(): Shows text or image on micro:bit|button_a.is_pressed(): Checks if button A is held down,I can use variables with correct data types|I can write for and while loops|I can use if/elif/else to make decisions,Task 1: Variable types exercise|Task 2: Write a loop program|Task 3: Button-controlled micro:bit display,"Python, variables, loops, decisions, micro:bit",false,false
y910-t2-w3-outline-01,Year 9/10,2,3,Python and micro:bit,Lesson Outline,Week 3 - Sensors and Radio,micro:bit sensors accelerometer temperature light compass and radio communication between devices.,"sensors, accelerometer, temperature, light, radio, micro:bit",html,,Drive,false,,Accelerometer: Sensor measuring tilt and movement|accelerometer.get_x(): Returns left-right tilt value|Gesture: A recognised movement like shake or face up|temperature(): Returns temperature in Celsius|display.read_light_level(): Returns light level 0-255|radio.on(): Activates the radio module|radio.send(): Sends a string to nearby devices|radio.receive(): Receives a string from nearby devices|radio.config(group=X): Sets which group to communicate on,I can read values from micro:bit sensors|I can detect gestures|I can send and receive radio messages,Task 1: Sensor reading program|Task 2: Gesture detector|Task 3: Radio communication between two micro:bits,"sensors, accelerometer, radio, micro:bit",false,false
y910-t2-w3-quiz-01,Year 9/10,2,3,Python and micro:bit,Reference,Week 3 Quiz - Python and Sensors,Quiz covering Python syntax variables loops decisions and micro:bit sensors.,quiz,pdf,,Drive,true,,,,Quiz Week 3,"Python, sensors, quiz",false,false
y910-t2-w4-outline-01,Year 9/10,2,4,Bit:Bot Automation,Lesson Outline,Week 4 - Bit:Bot Introduction,Direct pin control for Classic and XL models write_analog speed control and basic movement.,"Bit:Bot, pin control, write_analog, motors, movement, Classic, XL",html,,Drive,false,,Bit:Bot: A two-wheeled robot driven by a micro:bit|Classic model: Left motor pin0/pin8 right motor pin1/pin12|XL model: Left motor pin16/pin8 right motor pin14/pin12|write_analog(speed): Sets motor speed 0=off 1023=full|write_digital(0 or 1): Turns a pin fully on or off|pin0.write_digital(0): XL startup fix to silence buzzer|Forward: Both motors running in same direction|Spin: Motors running in opposite directions,I can explain the difference between Classic and XL wiring|I can write code to move the Bit:Bot forward|I can make the Bit:Bot stop and turn,Task 1: Identify Classic vs XL pins|Task 2: Write a forward/stop program|Task 3: Make the Bit:Bot turn left and right,"Bit:Bot, pins, motors, write_analog",false,false
y910-t2-w5-assessment-01,Year 9/10,2,5,Bit:Bot Automation,Assessment,Assessment 1 - Python and micro:bit,Mixed assessment - Part A written knowledge Part B coding task in simulator.,"assessment, Python, micro:bit, coding",html,,Drive,false,,,I can answer written questions about Python|I can write a working Python program for micro:bit,,assessment 1 Python,false,false
y910-t2-w5-rubric-01,Year 9/10,2,5,Bit:Bot Automation,Rubric,Assessment 1 - Student Criteria Sheet,Marking criteria and grade descriptors for Assessment 1 written and coding sections.,"rubric, assessment, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric,false,false
y910-t2-w6-outline-01,Year 9/10,2,6,Bit:Bot Automation,Lesson Outline,Week 6 - Motors and Driving,PWM duty cycle write_analog speed values and building a clean movement function library.,"PWM, duty cycle, write_analog, functions, motor control, Bit:Bot",html,,Drive,false,,PWM: Pulse Width Modulation - rapidly switching a signal on/off to control average power|Duty cycle: Percentage of time the signal is ON - 0% off 100% full power|write_analog(speed): Maps to duty cycle - 0=off 1023=full speed|Function: A reusable named block of code|def: Python keyword to define a function|Parameter: A value passed into a function|Calibration: Tuning speed values so both motors run evenly,I can explain what PWM means|I can use write_analog to control Bit:Bot speed|I can write a move_forward function with parameters,Task 1: PWM and duty cycle explanation|Task 2: Speed control with write_analog|Task 3: Build a movement function library,"PWM, duty cycle, functions, motors",true,false
y910-t2-w6-worksheet-01,Year 9/10,2,6,Bit:Bot Automation,Worksheet,Week 6 - Motor Control Worksheet,PWM and write_analog exercises - trace through code and predict motor behaviour.,"PWM, write_analog, motor, code tracing",docx,,Drive,true,,,I can trace through motor control code|I can predict Bit:Bot behaviour from code,,motor worksheet,false,false
y910-t2-w7-outline-01,Year 9/10,2,7,Functions and Line Following,Lesson Outline,Week 7 - Functions and Code Structure,Defining and calling functions parameters return values variable scope and building readable programs.,"functions, def, parameters, return, scope, local, global",html,,Drive,false,,Function: A named reusable block of code|def: Keyword to define a function in Python|Parameter: A variable that receives a value when the function is called|Return: Sends a value back from a function|Local variable: Only exists inside a function|Global variable: Exists throughout the whole program|Scope: Where in the program a variable can be accessed|Call: Running a function by using its name,I can define a function with parameters|I can use return to send back a value|I can explain the difference between local and global variables,Task 1: Write functions with parameters|Task 2: Use return values|Task 3: Refactor a program using functions,"functions, parameters, return, scope",false,false
y910-t2-w7-assessment-01,Year 9/10,2,7,Bit:Bot Automation,Assessment,Assessment 2 - Functions and Bit:Bot,Functions-based coding assessment using the Bit:Bot.,"assessment, functions, Bit:Bot, coding",html,,Drive,false,,,I can write well-structured functions|I can use functions to control the Bit:Bot,,assessment 2 functions,false,false
y910-t2-w7-rubric-01,Year 9/10,2,7,Functions and Line Following,Rubric,Assessment 2 - Student Criteria Sheet,Marking criteria and grade descriptors for Assessment 2 functions task.,"rubric, assessment 2, criteria",pdf,,Drive,true,,,I understand what is expected for each grade,,rubric,false,false
y910-t2-w8-outline-01,Year 9/10,2,8,Functions and Line Following,Lesson Outline,Week 8 - Line Following Concepts,IR sensors threshold values detecting contrast and building a line-following algorithm.,"line following, IR sensors, threshold, contrast, algorithm",html,,Drive,false,,IR sensor: Infrared sensor that detects light reflection|Threshold: A value that separates two states (on line / off line)|Contrast: Difference between black line and white surface|Algorithm: A step-by-step set of instructions|Correction: Adjusting direction when the robot drifts off line,I can explain how IR sensors detect a line|I can set a threshold value|I can write a basic line-following algorithm,Task 1: Read IR sensor values|Task 2: Set threshold and detect line|Task 3: Write line-following code,"line following, IR sensors, threshold",false,false
y910-t2-w9-outline-01,Year 9/10,2,9,Bit:Bot Automation,Lesson Outline,Week 9 - Autonomous Driving Project,Combining functions line following and motor control into a complete autonomous driving program.,"autonomous, functions, line following, project",html,,Drive,false,,,I can combine functions into a complete program|I can debug and improve my autonomous driving code,,autonomous project,false,false
y910-t2-w9-quiz-01,Year 9/10,2,9,Functions and Line Following,Reference,Week 9 Quiz - Functions and Automation,Quiz covering Python functions parameters return values and automation concepts.,quiz,pdf,,Drive,true,,,,Quiz Week 9,"functions, automation, quiz",false,false
y910-t2-w10-portfolio-01,Year 9/10,2,10,Functions and Line Following,Reference,Term 2 Portfolio - Automation,Portfolio collecting Python code evidence Bit:Bot work and reflections from the automation unit.,"portfolio, reflection, automation, Python",html,,Drive,false,,,I can curate my best code from Term 2|I can reflect on my growth as a programmer,,portfolio,false,false
